RegionName,January,February,March,April,May,June,July,August,September,October,November,December
California,505584.8167,510444.4292,515536.0851,520485.6161,524814.4884,528291.6194,530746.8509,532534.2547,534264.195,536689.022,539754.8533,543015.0536
Texas,188927.7548,190617.4893,192439.9479,194228.9522,195964.061,197620.2672,199057.193,200205.8249,201128.4911,202050.3879,203118.7496,204198.2136
Florida,231312.4756,233818.0403,236478.2331,239102.1944,241616.3011,244072.522,246288.3762,248201.8771,249805.2559,251385.6791,253117.3539,254856.6149
New York,268475.9199,270275.3427,272227.8475,274260.1262,276318.596,278363.6436,280134.5158,281523.4289,282569.6567,283619.1359,284842.8002,286113.5598
Pennsylvania,169125.6371,170336.6893,171710.4474,173056.5522,174216.5663,175228.2134,175939.2256,176422.1961,176722.2533,177182.8541,177870.1133,178683.018
Illinois,167934.8577,169247.3536,170687.6032,172015.869,173021.8109,173804.7363,174309.5072,174666.4395,174920.7742,175348.1416,175979.5478,176753.7359
Ohio,135826.959,136918.0594,138157.9651,139367.2461,140457.4655,141475.9745,142263.9575,142832.6954,143221.7283,143698.4542,144328.4418,145032.9435
Georgia,179310.9144,181362.161,183481.3148,185493.8913,187330.9791,189052.1912,190511.7706,191735.6353,192802.0185,193965.5511,195303.4478,196718.183
North Carolina,185869.9398,187662.4588,189663.0693,191666.0922,193561.4603,195363.4386,196866.9322,198050.791,198971.0494,199927.3223,201017.7995,202136.1513
Michigan,134678.4423,136076.2731,137696.0501,139282.6695,140662.5193,141861.2742,142674.0731,143159.7776,143467.2973,143867.5187,144458.8749,145140.3194
New Jersey,322341.1111,324361.5226,326655.7642,329046.4941,331352.7754,333267.1316,334651.6617,335524.2193,336238.1796,337210.7234,338573.5554,340119.3695
Virginia,256911.9202,258636.4079,260489.2152,262274.9732,263915.8579,265353.5651,266431.6311,267229.6163,267868.0379,268675.891,269732.3678,270939.1254
Washington,365809.31,370042.0771,374823.4922,379558.0881,383652.2855,386726.4446,388647.3202,389716.6553,390519.457,391700.2073,393512.5941,395713.1842
Arizona,253978.9022,256604.4273,259603.2183,262773.9128,265952.3361,268965.3953,271511.8297,273495.298,275003.3272,276345.7606,277683.0356,278929.2897
Massachusetts,398943.8214,402167.4847,405826.5788,409461.694,412742.8429,415499.0501,417322.066,418285.6834,418874.0308,419809.5056,421368.4334,423211.2193
Tennessee,168066.2185,169889.3058,171768.2242,173606.6402,175299.7736,176996.1305,178476.382,179693.126,180687.5925,181679.2255,182844.0186,184036.5361
Indiana,142272.2467,143463.4628,144829.0177,146215.4666,147462.0063,148600.4679,149510.5339,150230.1472,150780.0676,151395.2529,152186.0587,153030.4988
Missouri,147003.1596,148218.4031,149626.7081,151049.1984,152327.8485,153460.6666,154335.3387,154980.6628,155474.7968,156067.9329,156830.9842,157659.4495
Maryland,294748.9312,296441.9809,298365.5638,300351.4251,302118.2135,303468.6426,304295.1255,304698.4217,305036.021,305677.0595,306695.975,307885.6161
Wisconsin,174504.3962,175679.6285,176982.9207,178399.0731,179808.6468,181102.4383,182079.0934,182725.7022,183237.6624,183792.4958,184528.6967,185360.1814
Colorado,364423.2326,368188.1413,372375.727,376525.7758,380086.603,382875.8468,384756.2193,385981.1575,387005.4206,388436.4031,390385.6218,392571.6785
Minnesota,220097.7383,221972.881,224075.6092,226152.1109,227975.7977,229482.4253,230493.0256,231083.3516,231456.9788,232016.7459,232903.5365,233974.1554
South Carolina,169787.7152,171196.1691,172746.3533,174285.996,175785.0149,177263.0913,178582.3789,179670.4548,180546.0327,181451.1937,182468.9904,183489.7329
Alabama,131248.4134,132166.7295,133126.1041,134085.9945,136677.9895,135889.7335,136729.4209,137512.2125,138159.8499,138803.3847,139519.1296,140255.7598
Louisiana,145283.9015,145906.2483,146569.7117,147192.8862,147710.2828,148193.1105,148577.9265,148869.5737,149075.6187,149304.4554,149597.698,149880.1998
Kentucky,125715.5832,126597.4913,127574.224,128518.6537,129393.8796,130269.3206,131036.7472,131655.1973,132126.4945,132639.8359,133249.834,133870.1808
Oregon,325428.838,328676.5073,332178.1029,335573.3971,338536.9475,340870.2414,342469.2472,343558.8888,344458.3979,345709.3141,347370.449,349334.2224
Oklahoma,123288.8197,124245.9903,125227.0371,126124.8227,126931.9286,127734.4154,128475.6736,129158.4335,129772.0729,130475.2045,131315.5708,132168.0478
Connecticut,274415.72,276094.7405,278061.3614,279975.7355,281716.1345,283119.0149,284052.4609,284505.1085,284658.8586,285009.5159,285814.6926,286902.4287
Iowa,136846.8271,137764.6367,138833.2118,139928.1531,141026.9243,142058.3693,142926.6939,143539.1624,144038.0851,144592.2425,145229.6565,145838.0855
Utah,316493.7731,320206.7547,324332.7679,328372.703,331997.4686,334930.5939,337070.2729,338615.1087,339918.6687,341375.7255,343105.2165,344984.3723
Arkansas,120313.0611,121032.3384,121811.1316,122616.0768,123374.5776,124132.3459,124814.25,125436.6822,125948.2336,126453.5576,126986.3672,127543.531
Mississippi,113727.7666,114242.1494,114832.5669,115478.0107,116132.016,116791.8874,117449.9865,118055.7857,118542.0537,118933.552,119363.4471,119806.3523
Nevada,279278.0144,281945.6907,284883.9962,287815.9296,290515.2288,293166.1398,295489.1145,297378.8063,298750.2828,299934.875,301282.1759,302630.7853
Kansas,131806.5115,132846.4974,134004.5235,135155.3724,136234.6757,137224.1567,138081.5046,138822.8803,138492.4322,138848.7106,141231.4116,142104.3509
New Mexico,186860.4922,188183.8313,189731.652,191350.8941,192857.1315,194209.0614,195341.6435,196223.9745,196888.5787,197553.4637,198357.0094,199266.2009
Nebraska,160475.0063,161712.4512,163144.9766,164611.762,165964.5184,167188.6083,168134.0166,168824.7703,169328.8067,169926.8474,170703.0712,171588.1927
West Virginia,104673.0856,105450.2634,106357.6037,107165.5349,107814.7727,108364.5295,108674.7526,108850.6817,108972.3029,109308.3541,109795.2132,110286.4859
Idaho,256510.7707,259901.2265,263719.4254,267715.1207,271464.882,274562.4546,276752.6447,278166.2947,279199.6726,280404.9369,281896.629,283553.1542
Hawaii,663567.3675,669999.6075,677510.1168,684151.5028,689860.0954,694265.3573,697474.1902,699585.6807,701468.4304,703977.778,707282.2113,710519.6211
New Hampshire,279466.3876,282145.8189,285308.7607,288582.9867,291614.4087,294216.323,296090.9604,297227.8973,297936.0579,298799.8831,300124.4755,301713.389
Maine,209823.7661,211657.5614,213790.8609,216169.2511,218536.1362,220834.2095,222704.4848,224015.8145,224882.9233,225671.1384,226747.6968,227969.9826
Rhode Island,279989.1541,282262.3792,284947.5875,287700.8932,290141.1527,292148.2461,293535.6167,294374.6464,294990.0966,295791.4515,297085.5416,298550.6482
Montana,251548.5902,254294.6091,257465.3419,260853.8722,264126.7285,266949.8559,269002.3479,270567.0029,271691.361,272889.2896,274341.1177,275994.3493
Delaware,249366.8202,251330.2216,253374.408,255223.1748,256687.2278,257960.1424,258847.7775,259563.3778,260039.3033,260702.0037,261614.8082,262812.4847
South Dakota,181311.4472,182732.6339,184313.5873,185973.0338,190050.6146,189152.2178,190464.2477,191482.6452,192314.9212,193173.6028,194187.4011,195275.6762
North Dakota,191870.6887,192590.3988,193301.0006,194114.4538,195007.9078,195996.0447,196852.9907,197549.1772,198083.0307,198621.2268,199211.2343,199772.6368
Alaska,290850.3247,291666.0607,291960.3195,293435.8147,294511.3833,295538.839,296612.6287,297666.746,298850.8225,299788.33,300644.3618,301257.8898
District of Columbia,581413.1361,584997.7225,589503.5603,594019.6335,597582.1901,600009.1654,601475.5045,602340.2441,603022.814,604267.8238,606179.4637,608147.8765
Vermont,213840.7744,215433.3926,217102.1313,218776.0459,220464.4671,222156.1718,223741.2963,224887.5084,225770.0003,226438.7013,227275.4989,228160.4343
Wyoming,232151.8781,233314.3285,234635.0881,235987.1315,237294.0077,238494.1979,239585.7194,240576.1231,241463.5298,242453.6146,243585.0445,244686.3151
